optimizer,epoch,val_loss,val_accuracy,val_f1_score,val_auc,val_loss_std_err,val_accuracy_std_err,val_f1_score_std_err,val_auc_std_err
MILO_LW_scale_aware_True,1,7.7451336590576165,95.087,0.950807440936089,0.9851673204444444,3.5254286514282223,0.29699999999999704,0.002810053136280799,0.005045483111111193
MILO_LW_scale_aware_True,2,6.3579092103257775,95.456,0.9545870251472559,0.9871426853333334,2.611768135109841,0.28600000000000136,0.002881256924116393,0.004213980444444486
MILO_LW_scale_aware_True,3,5.992000870735633,95.43299999999999,0.9544085581808022,0.9876936082222222,2.3384996933579467,0.14299999999999358,0.0013745897695883191,0.00401541911111114
MILO_LW_scale_aware_True,4,5.293469665968418,95.582,0.955787693489203,0.9888477335555556,2.2350015813231465,0.1559999999999988,0.0015909550273162096,0.0041961093333333635
MILO_LW_scale_aware_True,5,4.974414193947908,95.445,0.9543982150097299,0.9893461091111111,2.047776795780059,0.07700000000000527,0.0008477003883921584,0.003911925555555528
MILO_LW_scale_aware_True,6,4.5603073591468934,95.756,0.957596101865958,0.9901618474444444,1.7519099770500055,0.12399999999999521,0.001347040224478513,0.0032873832222222172
MILO_LW_scale_aware_True,7,4.207850262002796,95.737,0.957409922271036,0.9908174574444445,1.5710760004900395,0.11699999999999731,0.0011803164851391654,0.003195169888888904
MILO_LW_scale_aware_True,8,4.175822828265429,95.686,0.9568654576624145,0.990858189111111,1.7182109045684337,0.13999999999999346,0.0014028325677108988,0.0034070544444443907
MILO_LW_scale_aware_True,9,3.926446346010412,95.60300000000001,0.9560151064112432,0.9913686708888889,1.3906124884001954,0.042999999999999254,0.0004914134710774509,0.002976861777777728
MILO_LW_scale_aware_True,10,3.67111468894047,95.701,0.9570333792039847,0.9918242016666665,1.3182459405608726,0.036999999999999034,0.00031522534034272853,0.002606724777777847
MILO_LW_scale_aware_False,1,1.8586209401376572,95.84,0.9583695507669185,0.9958464656666666,0.35357971730634297,0.0379999999999967,0.00038624463720510205,0.000936399888888939
MILO_LW_scale_aware_False,2,1.6832312953349202,95.756,0.9576028513393628,0.9963179040000001,0.3282484350272269,0.0759999999999934,0.0006395993263058064,0.0007777237777777389
MILO_LW_scale_aware_False,3,1.6403671008449214,95.88499999999999,0.9587714608126405,0.9962372293333333,0.3183326271957738,0.0730000000000004,0.0006450137889960627,0.0006557739999999979
MILO_LW_scale_aware_False,4,1.5780410790704535,95.49199999999999,0.9550671379668406,0.9964631204444445,0.1856581758676813,0.5219999999999985,0.005247325893107502,0.0005494593333333908
MILO_LW_scale_aware_False,5,1.3550706584631114,96.148,0.9612811905781604,0.9968824806666667,0.3016966964497252,0.1880000000000024,0.0018823970901536422,0.0007406973333333733
MILO_LW_scale_aware_False,6,1.2806107097757828,96.09899999999999,0.9610775004843491,0.9970187257777778,0.2846193192652834,0.11699999999999731,0.0011069015838151006,0.0007282651111110704
MILO_LW_scale_aware_False,7,1.28325114107579,95.807,0.9581960772990917,0.9970844354444445,0.26669265567332495,0.05700000000000216,0.0006461233474760464,0.0006896258888889893
MILO_LW_scale_aware_False,8,1.379546521512922,95.512,0.9552290978538638,0.9969802911111112,0.34067857319647454,0.5259999999999962,0.005220114140717157,0.0007236551111111099
MILO_LW_scale_aware_False,9,1.1647731649193167,95.908,0.9591332594864523,0.9973830802222222,0.264350501922071,0.2780000000000058,0.0027508445455882154,0.0005802184444444469
MILO_LW_scale_aware_False,10,1.139461945773689,96.093,0.9609366868524318,0.997396012111111,0.2573623378083389,0.11299999999999953,0.001134979860391072,0.0005251625555555139
