optimizer,eval_step,train_loss_mean,train_loss_stderr,dev_loss_mean,dev_loss_stderr,iteration,iter_loss_mean,iter_loss_stderr,wall_time_mean
MILO,0.0,10.862831497192383,0.032964525082232944,10.944497108459473,0.012164170775370136,1,10.944593048095703,0.036086868779316585,0.07779979705810547
MILO,500.0,6.541666698455811,0.023429004075945756,7.615229606628418,0.013694578847600851,2,10.83756618499756,0.04263662361768624,0.9677257537841797
MILO,1000.0,6.180156326293945,0.023838963534106014,7.3318253517150875,0.007661065783668632,3,10.800819969177246,0.05369447624708951,0.9813259601593017
MILO,1500.0,6.006982135772705,0.011325811781331775,7.267441082000732,0.019251207414487357,4,10.748573112487794,0.05089589081777716,0.9931255340576172
MILO,2000.0,5.806933212280273,0.01075821883440789,7.188350677490234,0.014078761329848763,5,10.569474220275879,0.06139708594233527,1.0069255828857422
MILO,2500.0,5.568689632415771,0.02101418803832164,6.995838928222656,0.01819638671078606,6,10.602814483642579,0.08469191343510278,1.018925952911377
MILO,2999.0,5.3773445129394535,0.012832911523708542,6.898132419586181,0.014056134338218213,7,10.560318756103516,0.04781077307448994,1.0309260368347168
MILO,,,,,,8,10.567554473876953,0.0781493981814264,1.0427244186401368
MILO,,,,,,9,10.474688911437989,0.07411823837807761,1.0545254230499268
MILO,,,,,,10,10.347841835021972,0.08218851635094596,1.06572527885437
MILO,,,,,,11,10.304645347595216,0.05419886793821013,1.0777254104614258
MILO,,,,,,12,10.298008346557618,0.05771027375142504,1.090124750137329
MILO,,,,,,13,10.29500846862793,0.027351708040963044,1.1021248340606689
MILO,,,,,,14,10.211956405639649,0.03666885733785475,1.11472544670105
MILO,,,,,,15,10.059269332885743,0.129516710102625,1.126725959777832
MILO,,,,,,16,10.168949127197266,0.03222420184270152,1.139525842666626
MILO,,,,,,17,10.172371864318848,0.12465960820348615,1.1521250247955321
MILO,,,,,,18,10.019081687927246,0.04983843046220244,1.1643255710601808
MILO,,,,,,19,10.092765617370606,0.06934227285815614,1.1765254497528077
